"zpid","city","zipcode","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
111373431,"pflugerville",78660,30.4306316375732,-97.6630783081055,1.98,2,"True","True","True","True","False","False","Single Family",2,2012,305000,5,"2019-09-02",9,2019,5,2,1,3,0,6011,2601,1,0,1,1,1.26666666666667,2.66666666666667,1063,14,3,4,2
120900430,"pflugerville",78660,30.4326725006104,-97.6616973876953,1.98,2,"True","True","True","True","False","False","Single Family",2,2013,295000,1,"2020-10-13",10,2020,1,2,0,0,0,6185,1768,1,0,1,1,1.4,2.66666666666667,1063,14,2,4,1
2084491383,"pflugerville",78660,30.4097480773926,-97.6397705078125,1.98,0,"True","True","False","True","False","False","Single Family",0,2018,256125,1,"2019-07-31",7,2019,4,1,0,1,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1
120901374,"pflugerville",78660,30.4321117401123,-97.6616592407227,1.98,2,"True","True","True","True","False","False","Single Family",2,2013,240000,4,"2018-08-08",8,2018,0,2,0,0,0,6098,1678,1,0,1,1,1.4,2.66666666666667,1063,14,2,3,1
60134862,"pflugerville",78660,30.4373683929443,-97.6568603515625,1.98,0,"True","True","False","True","False","False","Single Family",0,2002,239900,3,"2018-10-31",10,2018,0,1,0,0,0,6708,2132,1,0,1,1,1.13333333333333,4,1223,14,3,3,2
2080105342,"pflugerville",78660,30.4377746582031,-97.6561813354492,1.98,2,"True","True","True","True","False","False","Single Family",2,2020,309045,2,"2020-08-05",8,2020,3,1,2,2,0,5161,1446,1,0,1,1,1.06666666666667,4,1223,14,2,3,1
241932337,"pflugerville",78660,30.4146842956543,-97.6433944702148,1.98,0,"True","False","False","False","False","False","Single Family",0,2016,315000,2,"2020-06-11",6,2020,3,1,0,0,0,12196.8,2432,1,0,1,1,1.23333333333333,3.66666666666667,1051,12,3,4,2
60134835,"pflugerville",78660,30.4394035339356,-97.6580352783203,1.98,0,"True","True","False","True","False","False","Single Family",0,2002,219900,2,"2018-10-10",10,2018,3,1,0,0,0,5140,1422,1,0,1,1,1.16666666666667,4,1223,14,3,3,2
60134833,"pflugerville",78660,30.4390964508057,-97.657958984375,1.98,0,"True","True","False","True","False","False","Single Family",0,2002,225000,1,"2019-09-19",9,2019,2,1,1,1,0,3811,1870,1,0,1,1,1.16666666666667,4,1223,14,2,3,2
83827468,"del valle",78617,30.160701751709,-97.6381225585938,1.98,2,"True","True","True","True","False","False","Single Family",2,2013,194800,1,"2018-09-11",9,2018,3,2,0,0,0,5183,1422,1,0,1,1,1.2,3,1615,14,3,3,2
241932327,"pflugerville",78660,30.4149341583252,-97.6432876586914,1.98,2,"True","True","True","True","False","False","Single Family",2,2016,279900,2,"2020-08-28",8,2020,3,2,0,3,0,5401,1580,1,0,1,1,1.2,3.66666666666667,1051,12,2,3,1
241930967,"del valle",78617,30.1593379974365,-97.6333541870117,1.98,0,"True","True","False","True","False","False","Single Family",0,2016,250000,1,"2019-04-12",4,2019,4,1,0,0,0,4965,2281,1,0,1,1,1.2,3,1615,14,3,3,2
69808966,"del valle",78617,30.1677684783936,-97.6234359741211,1.98,2,"True","True","True","True","False","True","Single Family",2,2005,239900,9,"2020-09-05",9,2020,4,2,1,0,0,6011,1762,1,0,1,1,0.633333333333333,3.33333333333333,1626,14,2,4,1
64520966,"del valle",78617,30.1542835235596,-97.6505813598633,1.98,0,"True","True","False","True","False","False","Single Family",0,2003,2e+05,1,"2018-12-15",12,2018,4,1,0,0,0,6926,1326,1,0,1,1,1.83333333333333,3,1615,14,2,3,1
83813460,"del valle",78617,30.1597213745117,-97.6362762451172,1.98,2,"True","True","True","True","False","False","Single Family",2,2010,131679,5,"2020-08-18",8,2020,2,2,1,1,0,10846,1655,1,0,1,1,1.23333333333333,3,1615,14,3,3,2
29470450,"del valle",78617,30.1576881408691,-97.6464157104492,1.98,2,"True","True","True","True","False","False","Single Family",2,2000,2e+05,1,"2020-06-02",6,2020,4,2,3,1,0,6621,1228,1,0,1,1,1.46666666666667,3,1615,14,2,3,1
