DATE,TXTRAV3URN,ACTLISCOU48453
2018-01-01,3.0,3008.0
2018-02-01,3.1,2967.0
2018-03-01,3.0,3192.0
2018-04-01,2.7,3618.0
2018-05-01,2.6,3899.0
2018-06-01,3.1,4121.0
2018-07-01,3.1,4217.0
2018-08-01,3.0,4230.0
2018-09-01,2.9,4157.0
2018-10-01,2.7,4170.0
2018-11-01,2.7,3948.0
2018-12-01,2.7,3417.0
2019-01-01,3.2,3075.0
2019-02-01,2.9,3077.0
2019-03-01,2.6,3273.0
2019-04-01,2.3,3480.0
2019-05-01,2.3,3576.0
2019-06-01,2.8,3760.0
2019-07-01,2.9,3903.0
2019-08-01,2.8,3848.0
2019-09-01,2.6,3676.0
2019-10-01,2.5,3535.0
2019-11-01,2.4,3213.0
2019-12-01,2.3,2645.0
2020-01-01,2.7,2324.0
2020-02-01,2.5,2201.0
2020-03-01,4.0,2458.0
2020-04-01,11.8,2838.0
2020-05-01,10.8,2989.0
2020-06-01,9.0,2798.0
2020-07-01,8.2,2697.0
2020-08-01,6.5,2526.0
2020-09-01,6.2,2296.0
2020-10-01,5.2,2192.0
2020-11-01,5.1,1858.0
2020-12-01,5.0,1463.0
2021-01-01,5.2,1019.0
