Month-Year,Rate
Jun-2017,3.3
Jul-2017,3.3
Aug-2017,3.3
Sep-2017,3.0
Oct-2017,2.8
Nov-2017,2.9
Dec-2017,2.8
Jan-2018,3.1
Feb-2018,3.1
Mar-2018,3.1
Apr-2018,2.7
May-2018,2.7
Jun-2018,3.3
Jul-2018,3.2
Aug-2018,3.1
Sep-2018,3.0
Oct-2018,2.8
Nov-2018,2.8
Dec-2018,2.8
Jan-2019,3.3
Feb-2019,3.0
Mar-2019,2.7
Apr-2019,2.3
May-2019,2.4
Jun-2019,2.9
Jul-2019,3.0
Aug-2019,2.9
Sep-2019,2.7
Oct-2019,2.6
Nov-2019,2.5
Dec-2019,2.4
Jan-2020,2.7
Feb-2020,2.6
Mar-2020,4.1
Apr-2020,11.4
May-2020,10.4
Jun-2020,8.7
Jul-2020,7.9
Aug-2020,6.3
Sep-2020,6.0
Oct-2020,5.1
Nov-2020,5.0
Dec-2020,4.9
Jan-2021,5.2
